algebra_basics,geometry_intro,calculus_101,world_history_1,kinematics_basics,dynamics_intro,programming_fundamentals,data_structures_basics
93.68614114875197,73.99626707738629,73.6840240009135,76.44082990071867,86.56896442961991,81.94678753507782,57.70023365380142,75.86681574410953
77.96231320206329,66.67595277877898,76.66779413048715,53.33328182812128,90.19524656667967,84.30998597933848,59.20113138050411,46.57615811469773
69.17928788098877,78.65021166672082,53.99150949751866,55.3434670094467,92.60023054875963,79.39653785177359,59.418915103274436,73.9608692008702
70.72666410484536,84.66549125750174,92.38071467712345,36.65198356936773,35.83453486454439,84.91028667985606,69.3766575129587,75.51173795821967
87.02020936990007,82.58988370354218,93.00512039899854,56.71819922622183,76.80373648243932,73.94788819493863,42.95252466231076,74.4323754990831
87.14940169938933,87.29005979954246,72.90133995871876,40.53241804676817,70.70733841858723,76.10348670824737,39.261249157058145,67.29398834737209
83.01359740343972,79.60347823169322,72.9856864391681,54.31127256058029,54.882973409623844,73.39935463827281,46.42870688173072,69.65559549613108
74.49451475901213,91.11147412166957,81.77023053189373,69.9222558605669,97.88397356765583,86.69837950194069,78.7930757198992,90.66217403749965
81.82858566473202,77.34671597174922,52.17248733045035,69.70619257989735,94.87068825119073,72.82677893365101,58.442398375125705,56.29094155137737
52.72394104206974,48.50452118891508,88.06602922842526,54.889687657653255,83.10089341981221,96.22093760659122,72.58239476995904,78.14385303881059
52.49023468700799,53.81361242698792,60.81593246833609,69.0812537560894,64.3015177664789,100.0,72.19908549932856,71.31761348279255
83.6070798822337,90.65337005166104,88.84869847767715,87.17049132672388,64.13929685875962,74.92338588842993,70.95154049159585,44.42152403454418
78.84770809292077,86.83317545996414,88.36296228327309,60.827204289749794,50.0205527600419,53.19645027065222,72.90040651689219,43.63353484663003
68.58746797640137,88.02511709348074,77.85530405348999,45.81475237082598,32.07104623954999,73.91173752841965,57.16589003282227,67.52245845358605
50.051108955155726,62.11808794075787,85.85684495045244,76.78409360991911,73.72397217808538,53.00495084284239,91.68811947082115,69.00444178382514
